stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,1.41,0,3.95,0,0,0,0.28,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.37,4.07,0,1.11,0.37,0,0,0,0,0,0,0,0,0,0.74,9.62,0,0,5.18,1.11,0.74,0.37,0,0.37,0,0.37,0.37,8.51,0.37,0,0,0,0.37
3Month,0,5.82,0.21,5.72,0,0.31,0.62,0.73,0,2.81,0.83,0,0.83,1.04,0.42,5.3,1.77,0,5.1,7.07,0.1,0,0,0.1,0.1,0.1,1.04,0.31,0,1.35,0.21,0.52,0.83
22Month,0.14,9.7,0.27,1.09,0,0,0.27,0.41,0.41,7.24,0.27,0.14,1.23,0.14,0.27,1.37,0.68,0.27,1.5,0.82,0,0,0.14,0,0,0.14,2.46,0.14,0,0.14,0.27,0,0.14
