stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0.28,0,0.85,1.13,1.69,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0.28,0,158.12,12.4,0,0.28,0,1.41,0,0.28,2.54,4.79,3.95,0,0,0,0
21Day,0.74,0,0,1.48,0.74,0,0,0,0,0.37,0.37,0.74,0.37,0,0.37,0.37,2.22,0,0,0,0,27.38,1.85,0,0.74,0,0.74,0.37,0,0.37,0.37,1.85,1.48,0,0,2.96
3Month,0,0.1,0.21,3.02,0,0,0.73,0.42,0.21,2.5,0.94,0,0.52,0.42,0.62,0.52,1.35,0.42,0,0.21,0.31,0.73,0.1,4.06,2.29,0,0,0.21,13.73,0.42,0.21,0,1.25,0.21,87.79,1.98
22Month,0.14,0,0.27,0.14,0.27,0,0,0.27,0.14,19.4,0.14,0,0.55,0,0,0.27,0.41,0,0.55,0,0,0.41,0,1.5,1.64,0.14,0,0.14,16.94,1.37,0.14,0,0.14,0,0.41,0.41
