stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,6.48,0,0,0.56,0,3.1,2.25,0,5.36,0,0,0.85,0,0,0,0
21Day,0.37,0,0,4.44,0,0.74,0,0.37,0,0,0,0,0,0.37,0,0.74,2.59,23.68,0,0,3.7,0,1.48,1.11,0,4.81,0,0,0,0,0,0,0
3Month,0,2.7,0.1,7.18,0.1,0,0.21,0,1.25,0.42,2.5,1.04,0.83,0.94,0.1,15.81,3.02,28.5,12.17,0,0.73,0.1,0.21,0.1,0,0.1,0.21,1.87,0.52,0.31,0.94,0.42,0.42
22Month,0,0.82,0.14,2.73,0.14,0,0.27,0,0.27,0,0.82,3.42,0.14,0.27,0.14,6.42,4.78,24.05,1.09,0.14,1.09,0,0,0,0.68,0.27,0.14,0.27,2.87,0,0,0,0
