stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Radial_glia
72hpf,0,0.28,0,3.38,0,0,0,0.28,0,0
21Day,0.37,9.25,0,3.7,0,1.48,0,0,0.37,0.37
3Month,0,1.46,0,0.52,0.21,0.94,0.31,0,0,0
22Month,0,0,0.14,0,0,0.27,0,0,0,0
