stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0.56,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.74,0,0,0.37,0,0
22Month,0.41,0.68,0,0.14,1.09,1.5,0.55,0.27,3.28,0.27,0.55,0.14,0,0.55,0.41
