stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0
72hpf,0.28,0,3.38,0.56,0.28,0,0,0,0,0,0,0,0,0,0.85,3.66,0,0.85,0,0,0,4.79,3.95,0.56,0,4.51,0.56,0,0,0
21Day,0,0.37,0.74,0.37,0.37,0,0.74,0,0,0,0,0,0,0,0,0.37,0,2.22,0,0,0,1.48,2.59,0.37,0,0.37,0,0,0,0
3Month,0,0.1,0.73,0,0,0,0,0.31,0.1,0,0.52,0,0,0.31,0.1,0.42,0.1,1.04,0.21,0.31,0.42,0,0.1,0,0.21,0,0.21,0.1,0.21,0
22Month,0,1.23,0.55,0,0,0.14,0,0.14,0.27,0.14,3.28,0.14,0.14,0,0,0.14,0.27,1.09,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0.14
