stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,15,217,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,12.12,1.97,7.05,1.13,13.53,0.28,0,0.28,0,0,0,0.28,0,2.54,18.32,2.82,14.09,0.56,0.56,1008.17,485.06,0.56,0.56,24.52,0.28,0,17.76,1.41,0.56,1.41,0,0,0
21Day,3.7,0,8.51,0.37,10.73,1.48,0,0.74,0,2.22,0.37,2.22,4.07,0.37,5.92,1.48,7.77,0,1.48,397,93.24,1.11,1.11,4.81,11.1,0,4.44,0.74,3.7,1.11,0.37,0,0.74
3Month,0,0.1,0.94,0,0,0,0.21,0,0.1,1.35,0,0,0.42,0.1,0.1,0,0.21,0,0,4.89,0.94,0.73,0,0,0,0.52,0.21,0,0,0,0,0.21,0
22Month,0,0,0.14,0,0,0,0,0.27,0,2.19,0.27,0,0.14,0.14,0,0.14,0.14,0.27,0,4.24,0.27,0,0,0,0,0.68,1.23,0,0,0,0,0,0
