stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,13,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0.56,2.54,1.13,2.54,0,0,0,0.28,2.82,6.48,0,0,1.13,0,0,0,1.41,0,0.85,0,0,0
21Day,0.37,0.74,0,6.29,0.37,2.96,0,1.11,0,0.74,0,0,0,0,2.96,0,0,2.59,2.59,6.29,0,0,2.22,0,2.96,3.33,0.37,0,1.85,0,0,0,0.74,0,0.37,0,0,2.59
3Month,0,0.94,0.1,8.22,0,0,0.21,0.1,0.73,3.33,0.1,0,1.56,6.66,0.73,0.83,0.31,3.54,6.03,4.26,0.42,0,0.52,0,0.21,0.21,0,0.31,0.21,0.21,0.1,3.33,0.1,0,0,3.54,1.04,7.91
22Month,0,0.55,0,2.6,0,0,0,0,0,7.93,0.55,0,2.73,4.24,1.5,0.27,0,0.14,5.47,1.64,0,0.27,0.55,0,0.41,0,0,0.27,0.14,0,0,0.14,0.27,0.14,0,0.41,0,3.42
