stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,1.13,0,0,0,53.55,5.07,0,0,1.97,0,0,0.28,0,0,0,0
21Day,1.11,0,0,1.48,0.74,1.85,0,0,0,0,0,0,0.37,0.37,0.37,0,0.74,0.37,4.81,0,0,0.37,39.96,8.14,0.74,0,0.74,0,0.37,2.59,0,0,0,0
3Month,0.1,0,0.1,0.83,0,0,0.1,0.1,0.31,0.62,0,3.12,0.42,0.42,0.62,0.1,0.42,0.52,0.52,0.42,0.1,0.21,0.42,0.1,0.1,0,0.21,0.1,4.58,0,0.1,0.21,0.31,1.14
22Month,0,0.14,0,0.68,0,0,0.14,0,0.14,0.27,0.27,10.93,0.41,0.41,1.23,0,0.41,1.09,1.23,0,0,0.41,0,0.14,0.14,0.27,0.14,0.14,1.5,0,0,0,0,0.27
