stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,7.05,0,0.28,0,0.28,0.28,0,0
21Day,0.37,1.11,0,0,0,0,0,25.16,0,0,0,0,0,0,0
3Month,0,0.42,0.1,0.1,0.31,0.1,0,2.5,0,0,0.1,0,0,0.1,0.1
22Month,0,0.27,0,0,0.82,0,0.41,0.68,0.14,0,0,0,0,0.14,0
