stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10,1,0,0,0,0
72hpf,0.28,0,0.28,0.85,0,0,0,0,0,0,0,0.28,1.69,0.28,0,0,1.69,0.85,0.28,0,0,0.28,0
21Day,1.11,0,1.11,2.22,0,0.74,0,0.37,0,0,0,0,0.37,0,1.11,0,1.48,0.74,0.74,0.37,0,0,0.37
3Month,0,0.1,0.52,0,0,0,0.1,0.1,0.94,0.1,0.42,0,0.1,0.1,0,0,0,0,0,0,0.52,0,0.21
22Month,0,0.14,0.27,0,0.14,0,0,0.27,0.82,0,0.27,0.14,0,0.55,0.27,0.14,0,0,0,0,0.27,0,0
