stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,2,0,5,0,0,0,0,0,2,0,0,0,0,0,1,5,16,0,0,7,324,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,0,1.13,0.56,0,0,0,0,0,0,0,0.56,0,0.56,1.97,0,21.7,0,0.28,10.15,10.15,0,0,0,27.34,0.28,0,1.41,0,0,0,0,0,0
21Day,1.48,0.37,0.37,9.25,0.74,0.74,0,0,0,0,0,0,0.37,0.37,0.74,1.85,0,4.07,0,0,4.44,5.92,0,0,0,6.29,0.74,1.48,1.85,0,0.37,0.37,0,0.37,0
3Month,0.1,0.1,0.21,3.12,0,0,0.21,0.73,0,0,0.83,0.42,0.1,0.83,0.21,0.31,1.14,0.52,0.1,0.1,0.21,0,0.1,0,0,0.31,0.31,6.24,0.1,0.1,0,0,0.21,1.66,0.83
22Month,0,0.14,0.27,1.37,0,0,0,0.27,0.14,0,2.46,0.14,0.14,0.68,0,0.14,1.23,0.41,0,0.14,0,0,0,0.41,0.14,0,0,2.6,0,0.14,0,0,0,0,0.14
