stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0,0.85,0.85,1.13,0.28,0,0,0,0.56,64.83,0.28,1.69,0.28,4.79,3.1,0.28,1.41,0,0,0,0,0
21Day,1.48,0.37,1.48,0,0.37,0,0.37,0.37,0.37,0,41.81,0.37,1.11,0,1.85,0.74,0,0.74,0.74,0,0.37,1.11,0
3Month,0,0,0.1,0,0,0.1,0.1,0.1,0,0.1,2.39,0,0,0,0,0,0,0,0,0.1,0,0,0.1
22Month,0,0,0.14,0,0,0,0.27,0,0,0,0.55,0,0,0,0,0,0,0,0,0.27,0,0,0
