stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0.28,1.69,0,0,0,0.85,0,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0.37,0.74,1.11,0,0.37,0,0,0,0,0,0,0,0.74,0,1.48,0,0.37,0.74,0.74,0,0,0.74,0,0,0.37,0.37,0.37,0.74,0,0,0
3Month,0,0.31,1.87,0,0,0.1,0.52,0.62,1.98,0.31,0,1.98,0.31,1.04,0.31,0.62,0.1,0.21,0.21,0,0.1,0,0,0.21,1.25,0,0,0,0,0.42,0.52,1.14
22Month,0,0.14,0.41,0,0.27,0,0,0.27,3.01,0,0.14,0.68,0,0,0,0,0,0,0.14,0,0.14,0.14,0,0,0,0,0.14,0,0,0,0,0.14
