stage,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0.28,0.28,0,0
21Day,0,0.37,0.37,1.11,0.37,0.37,0
3Month,0.42,0,0.1,0,0,0,0.1
