stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0.28,1.41,0,0,28.47,0.56,0.28,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0.37,0,0,6.66,0.37,0,0.37,0,0.37,0.37,0.37,0,0,0
3Month,0.1,0.1,0.52,0,0.1,0.1,0.1,0.1,0.73,0.21,0.1,0.21,0.1,0.21,0.1,0.21,0,0,0,0.1,5.41,0,0,0.1,2.6,0.1
22Month,0,0,0.27,0,0,0,0,0,1.23,0.27,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0.27
