stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,1,0,0,2,0,1,1
72hpf,0.28,0.28,0,0.28,0,0.56,0,0,0.56
21Day,0.37,0.37,0,0,0.37,1.48,0.74,0,0
