stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Oocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0.37,0,0,0,0,0,0,0,0.37,0,1.11,0,0,0,0,0,0,0,0,0,0.37
3Month,0,0.31,1.66,0,0.1,0.1,0.62,1.14,0,0.1,1.87,0.21,4.47,0.73,0.94,0.1,0.21,0.1,0,1.14,0.1,0.1,0.52,1.14
22Month,0.14,0.27,0.68,0,0,0,0.68,1.78,0.41,3.69,0.82,0.14,2.46,0.27,1.23,0.41,0.14,0,0.14,0.55,0,0.14,0.14,0.68
