stage,Cardiomyocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.56,0,0,0,0,0
3Month,0,0.1,0.31,0,0.21,0.1,0,0.1,0.1,0.42,7.59,0.1
22Month,0,0,0.27,0.14,0,0,0,0,0,0,0,0
