stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,2.25,0,20.29,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,5.55,0,0.37,0,1.11,1.48,0,0.37,0.37,1.11,0.37,3.7,1.11,25.9,0.37,0,0,0,0,0.74,0,1.11,0,0.37,0,0,0,0,0,0,0,0.37
3Month,0,0.21,0.21,11.96,0,0,0,3.95,1.66,0,2.5,15.39,0.31,1.66,7.07,0.62,60.02,0.21,0.21,0,0.21,0.52,0,0,2.08,0,0,0.52,0.1,0.21,0.1,0,0.1,0.42,0.52
22Month,0,0,1.91,5.19,0.14,0,0.14,6.42,4.24,0.55,5.47,0.41,0.55,2.05,0.82,0.27,99.07,0.68,0,0.14,0.41,0,0,0.14,2.32,0.68,0,0.27,0,0.14,0,0.27,0,0,0.14
