stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,6,0,2,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0.56,0,0,0,0
21Day,0.37,0,0.37,0.74,0,0,0,0.37,0,0.37,0,0.37,0.37
3Month,0,0,0,0.31,0,0.1,0.1,0,0,0,0,0,0
22Month,0,0,0,1.64,0.96,0,0,0.14,0.14,0,0,0,0
