stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,6,1,1,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,2.54,0,0,0,0,0,0,13.81,0,0.85,0,1.41,0.56,0,0,0,0,0
21Day,0,0,0,17.39,0,0,0,0,0,1.11,12.95,0.37,0.74,0.37,0.74,0.74,0.74,0,0.37,0,0.37
3Month,0,0,0,3.54,0.21,0.21,0.52,0.31,0.52,0,0.94,1.14,0.1,0,0,0,0,0,0,0.1,0.31
22Month,0,0,0.27,0.41,0.14,0.14,0.82,0,0.55,0,0,0.27,0,0,0,0,0,0.14,0,0,0
