stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0,1.41,0.56,0,0,0,0,0
21Day,0.37,0,0.74,0.37,0,0.37,0,12.95,0.74,0.74,1.11,0,0,0.37,0.37,0.37,0,0.37,0,0
3Month,0,0.1,0,0,0.21,0.73,0.42,0,0,1.35,0.31,1.46,0.42,0,0,0,0.1,0,0.1,0.62
22Month,0,0,0.14,0,0.27,0.14,0.14,0,0,0.82,0.82,0.14,0,0,0,0,0,0,0,0.27
