stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0.56,0,0,0,0,0,0,0.28,0.56,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,4.81,0.37,0.74,0,0,0,0,0.37,0,1.48,0,0,8.51,0.37,0,1.11,3.33,0,0,0.74,0,0.37,0.74,0.74,0,1.85,1.85,0,1.85,0.37,0,0,0,0
3Month,0,0.73,1.25,12.59,0,0,0.1,0.1,4.37,4.26,0.21,0,181.82,2.7,0.31,51.38,0.94,2.5,1.66,4.16,0.94,0.31,0.94,8.11,0.52,0.1,0.83,0.42,0,3.43,1.04,0.21,0,0.1,0.42,0.52,1.46
22Month,0.14,0.27,0.96,2.6,0.14,0,0.27,0,1.23,1.78,0,0,56.85,0.68,0.55,29.24,0,0.14,0.55,3.28,0.14,0.96,0,0.14,0,0,0.27,0.27,0,0,0.55,0.27,0,0,0,0,0.14
