stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0.28,7.33,0.28,0.28,0,0,0
21Day,0,1.11,0,0,0,0,0,0.37,0.74,0,0,2.59,0,0,0,0,0.37
3Month,0,0.21,0,0.1,0.31,0,0.1,0,0.1,0,0,0,0,0,0.1,0.31,0
22Month,0,0.14,0.27,0.27,3.28,0.14,0.14,0,0,0.27,0,0.14,0,0.14,0,0.68,0.14
