stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,1,0,0,0,0,0,0,4,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,2.25,0.56,0,0,0,0.28,0
21Day,0,0.37,1.48,1.48,0.37,3.7,0.37,1.85,0.37,0.37,0.37,0.37,0,0.37
