stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.95,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,1.69,0,0.28,0,0,0,0,6.76,2.54,1.69,0,0,0.56,0,0,0,0.56,0,0,0,0
21Day,0.74,0,0,7.03,0.37,0.74,0,0,1.48,0.37,0,0,0.37,4.44,1.85,0,0.37,2.22,0.74,1.11,0,0,0.74,0,2.96,0.74,1.48,0,0,0.74,1.48,0,0,0.37,0.74,0,0,1.85
3Month,0.1,0.62,0.21,14.25,0,0,0.21,0.1,24.13,3.12,0,0,3.95,92.16,0,1.56,1.56,13.63,0.62,2.7,0.73,0,2.5,0.21,0.42,0,7.18,0.31,0,0.1,0.62,0.1,3.22,0,0,1.04,1.56,1.98
22Month,0.14,0.68,0.41,1.5,0,0,0.27,0,4.92,1.09,0.14,0,9.7,13.8,0,0.82,0,1.5,0.41,0.27,0.14,0.27,0.27,0,0.14,0,3.69,0.14,0.14,0,0.14,0,0.55,0.14,0,0.27,0,0.41
