stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,10.36,0,0,0,0,0,0,0,0,0.37,1.85,0,0.37,0,0,3.33,0,0.37,0.37,0,0,0,0,0,0,0,0
3Month,0.1,0.1,30.58,0.1,0.52,0.62,0,1.56,0.73,0,1.66,0.73,1.56,0.31,0.94,0.31,0,39.63,0.52,0.1,0,0,0.1,0.83,0.73,0.1,0.21,0.21,0.31
22Month,0.41,0.14,22.41,0.14,0.41,0.14,0.14,2.73,0.27,0.14,1.23,0.27,0.14,0.14,0.27,0,0.41,24.87,0.14,0,0,0.14,0,0,0.55,0.14,0,0,0
