stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0.85,0,0,0.28,0,12.4,1.13,0,0,0,0,0.28,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0,0.74,0.37,0,14.43,0,1.11,0.37,0,0,0.37,0.37,0
3Month,0,0.1,0.31,0,0.21,0,0.62,0.31,0,0.21,0,0.1,0,0.21,0.21,0.42,0,0,0.1,1.04,0.1,0,0,0.21
22Month,0,0,0,0,0.14,0.41,4.24,0.14,0,0.14,0,0,0,0,0,0.27,0,0,0,0.55,0.14,0,0,0.27
