stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,1.69,0,0,0,0,0.28,0.28,0,0,0
21Day,0,0.37,0.74,0.37,0.37,0.74,0.74,0,1.85,0,2.59,1.11,0.37,1.11,0,0.37,7.03,12.21,0,0,0
3Month,0,0.1,0,0,0.42,0.42,0,0.1,0.1,0,0.21,0,0,0,4.78,0,0.1,0.1,0.1,1.66,0.1
22Month,0.14,0,0,0,1.23,0,0,0,0,0.14,0,0,0,0,0.82,0,0,0,0,0,0
