stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,2,5,0,0,0
72hpf,0.28,0,0,0,0,0.28,0.28,0,2.54,0,0,0,0
21Day,0,1.48,0.37,0.37,0,0.37,0.37,1.11,1.85,0.37,0.37,0.37,0
3Month,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1
