stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0.56,0,0.28,0.56,0,0.56,0,0,0
21Day,0,0,2.59,0.37,0.37,0.37,0,0,2.22,4.44,0,1.48,0.37,0.74,0.37,0.37,0.37,0,0,3.33
3Month,0,0.1,0.42,0,0.1,0.73,0,0.52,3.02,0,0.1,0.21,0,0,0,0,0,0.1,0.1,0.1
22Month,0,0,0,0,0,0.55,0.14,0.55,0.41,0,0,0.14,0.14,0,0,0,0,0,0,0
