stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,2.25,0,0,1.41,0.56,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0.37,0.37,0,0.37,0,0,0.37,0,0,0
3Month,0.21,0.1,0.21,0.1,1.56,0.42,0.1,0,0,0.1,0,0.73,0,0,0.1,0.62,0.1
22Month,0,0,0,0,0,0,0,0,0,0,0,0.27,0.14,0,0,0,0
