stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0,0,0,2.96,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.73,0.1,8.74,0,0.1,4.47,0.21,0.21,11.65,1.56,0.1,4.26,0.21,5.62,1.56,3.33,0.31,0,3.54,0.1,0,0.73,0,0.1,4.37,0,0,0.1,0.1,2.08,0.83
22Month,0.68,0.41,7.38,0.14,0,1.5,2.6,0.14,17.76,3.69,0.55,2.05,0.27,3.55,3.69,18.58,0.55,0.82,1.09,0.14,0.96,0.68,0.14,0,6.01,0.14,0.14,0,0,0,0.55
