stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,2,29,0,0,1,0,0,0,0,0
72hpf,1.41,0.28,0,2.82,0.56,0.56,0,0.56,0,0,0,0.56,0,1.41,7.89,3.1,5.07,0,0.56,0,0.28,8.17,11.56,0,0.28,1.41,0,0,1.69,0,0
21Day,1.11,0.37,0,14.43,3.33,0.37,0,2.96,0,0.37,0,6.66,0.74,0.37,6.66,5.55,7.77,0,0,0,0.37,2.22,4.07,0,0,0.74,1.48,0,1.48,0,7.03
3Month,0,0.31,0.21,5.82,0,0,0.52,8.53,0.1,2.91,9.99,0.52,2.6,0.31,3.02,7.39,0.73,0.31,0,0.42,0.42,0.21,0,0.1,0.1,0,0.21,4.99,0,2.29,5.2
22Month,0,0.27,0.14,1.78,0,0.14,0.41,15.99,0.41,4.92,6.56,1.09,1.78,0,0.82,5.33,0.55,0,0.27,0.14,0,0.27,0.14,0,0.14,0,0,0,0.14,0,2.46
