stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,2.54,0,0,0,0.28,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0.74,0.37,0,0.37,0,0,0
3Month,0,0.1,0.1,0.42,0.21,0,0.1,0,0,0,0,0,0,0,0.21,0.1
22Month,0.14,0,0.27,3.01,0.14,0.14,0,0.14,0,0,0,0.14,0,0,0,0.14
