stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,3.38,1.13,0,0,0,0,0,0,0,0,0,0.85,3.38,0.28,3.38,0,0.28,0,0,31.85,12.4,0,0,4.79,0,0,0.56,0,0.56,0,0,0
21Day,1.85,0,0,9.99,0.37,0,1.11,0,0,0,0.37,0,1.11,0.74,0,5.18,1.48,3.7,0,0,0.74,0,9.25,2.59,0,0,0,1.11,0,1.11,0.37,0,0,0,1.48
3Month,0.21,1.46,0.1,13.31,0,0.21,0,0.1,1.25,2.39,6.66,1.04,0.42,5.51,0.1,5.2,3.12,2.08,0.31,0,0.52,0.1,0.52,0.21,0.52,0,0,0.31,0.83,0,0,0.21,1.46,0.21,2.08
22Month,0,1.09,0.27,2.05,0,0,0,0,0.14,1.23,3.28,0.14,0.14,0.68,0,0.41,0.41,0.55,0,0.14,0.27,0,0.14,0,0,0.27,0,0,0,0,0,0,0,0,0.14
