stage,Epithelial_cell,Erythroid_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,2,0,0,0,7,0
72hpf,0,0,0,0.85,0.28,0
21Day,0.37,0.37,0.74,0,0.37,1.11
