stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0,0,1.85,0,0,0,0,0,0.74,0,0,0,0.37,0.37,0,0,0
3Month,0,0.1,2.18,0,0.1,0.42,0.1,0.1,0.94,0,0.21,0,0.21,0,0,0.31,0.1
22Month,0.14,3.14,0.96,0.14,0.14,7.38,0.14,0.55,0.27,0.27,0.27,0.41,0,0,0.14,0.27,0
