stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0.85,0.28,0.85,0,0,0,0,0,0,0,0,0.85,1.69,0.28,2.54,0,0,0,0,92.45,8.17,0.56,0.85,3.1,0.28,0.28,3.1,0.28,0,0.85,0,0,0
21Day,1.85,0,4.81,0.37,1.85,0.74,0,0,0,0.37,0,0.37,1.11,0.37,1.85,1.48,6.29,0,0,1.11,0,79.18,6.29,1.11,0.74,2.96,1.85,0,5.55,0.37,1.48,0,0,0,0.37
3Month,0,0.21,12.48,0,0,0.1,0.42,0.42,0.21,1.87,0.21,0.1,0.52,0.52,0.83,2.39,4.16,0.94,0,0.62,0.1,12.48,0.52,6.66,0.21,0.1,0.31,3.12,0.52,0,0.1,0.1,8.22,0.31,0.73
22Month,0,0,7.79,0.14,0,0.14,0.27,0.41,0.27,5.06,0.27,0.14,0.82,0.14,0.55,0.96,2.6,0.27,0.41,0.41,0,4.78,0.41,4.1,0.27,0,0,2.6,0.82,0.14,0,0.14,1.23,0,0.55
