stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,3,0,1,0,0,0
72hpf,0,0,0,1.13,0.28,0,0,0.28,0
21Day,0.37,0,0,1.11,0,0,0,0,0
3Month,0,0.1,0,0,0,0,0.1,0,0.1
22Month,0,0,0.14,0,0,0,0,0,0
