stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,0,0,0,0,0,1.41,3.38,0,0.85,0,0,0,1.41,0.85,0,0,0.28,0,0,0.56,0,0,0,0
21Day,0.37,0,12.58,0,0,0,0,0,0,0,0.74,1.11,0.37,5.18,0,0,0,0.37,0,1.11,0,0,0,0,0,0,0.37,0.74,0,0,0
3Month,0.42,0.31,4.78,0.1,0.1,1.14,0.52,0,2.29,0.31,0,3.74,0.1,1.14,1.04,0.52,0,1.25,0.1,0,0.1,0.1,0.1,0.1,0.1,0.42,0.1,0,0.52,0.52,0.73
22Month,0.41,0.14,1.64,0,0.14,0.68,0.41,0.41,6.01,0.27,0,5.47,0.55,0.27,0.41,0.68,0.27,0.27,0.14,0,0,0,0,0,0,0.82,0,0,0.14,0,0.41
