stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,2.25,0.56,1.13,0,0,0,0,33.82,3.95,13.25,0,1.97,0,0,0.85,0,0,0.28,0,0,0
21Day,0,0,0,4.44,0.74,0,0,0,0,0,0.74,0,0,0,0,1.11,0,6.66,0,0,0,0,14.43,1.11,12.58,0,1.11,1.48,0,0,0,1.11,0,0,0,0.37
3Month,0.1,0.31,1.35,4.99,0,0.21,0.42,2.18,0.1,0,8.63,2.29,0.1,6.87,0.21,1.14,0.52,1.98,0.94,0,1.35,0.52,0.62,0,40.25,0.42,0.21,1.56,1.66,0.1,0,0,0,0.21,0.73,1.56
22Month,0.14,0.14,0.55,1.5,0,0.41,1.23,1.23,0,0,6.56,0.55,0.14,13.94,0,0,0.55,1.37,0,0.27,1.09,0,0.82,0,28.15,0,0,0.14,0.55,0,0.14,0,0,0,0,0.55
