stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0,0,0,0.56,0.28,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0.37,0.37,0.37,2.22,0.74,0,0,0,0,0,0.37,0.74,0,1.11,0.37,0,0,0,0
3Month,0,4.99,0,0.1,0.1,0.52,0,0.52,0.21,0.21,2.5,0.94,3.02,1.35,2.5,0.21,0.1,2.18,0.1,0.1,0,0.21,3.64,0.62,0.21,1.25
22Month,0.14,0.41,0,0,0,0.27,0.55,0.41,0.14,0.27,0.14,0.14,0.14,0.41,0.27,0,0,0,0.14,0,0,0,0.27,0,0,0.55
