stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0,1.11,2.96,0,0,0,0,0,0,2.96,0.37,0.74,0,0.74,0,0,0.37,0,0.74,0,0,0
3Month,0.1,0.31,1.04,0,0.62,0.1,0.52,1.14,0,8.53,0,0.73,0.21,0.42,0,0.1,0,0,0,0.31,0.1,0.31
22Month,0.41,0.14,1.37,0,0.27,0,3.14,1.64,0.14,8.88,0.14,0.27,0.14,0.27,0.14,0,0,0.27,0,0,0,0.14
