stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,80.61,0.85,0,1.97,4.23,2.82,0,0,0,0,0,0,0,0,1.13,5.92,0,5.64,0,0,0,0,21.14,10.99,0,3.95,0,0,1.13,0.56,0.28,0,0,0
21Day,42.55,0,0,1.48,2.96,0.74,1.11,0,0,0,0.37,0,5.55,0,0,2.22,0.74,4.44,0,0,1.11,0,4.07,2.96,0,1.11,1.48,0.74,1.11,0,1.11,0,0,0
3Month,38.69,0.42,0.21,3.54,0.21,0,0,0.42,0.94,0.1,5.82,1.56,0.21,1.25,0.21,1.25,1.14,1.56,0.42,0,0.52,0.1,0,0,0,0.1,0.42,2.18,0,0,0,0.31,8.53,1.25
22Month,27.06,0.82,0.27,1.09,0.27,0,0,0.14,1.37,0.55,13.66,0.82,0.14,1.37,0,0.14,0.82,1.23,0.14,0.27,0.27,0,0,0,0.14,0,0,0.96,0.14,0.14,0,0.27,0,0.27
