stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,1.69,0,0,0,0,0,0,0,0.28,0.28,0,0,0.28,0
21Day,0,0,1.48,0.37,0,0,0.37,0,0,0.74,0,0,0.37,0,0,0
3Month,0.73,0.1,0,0,0.1,1.35,0.1,0.1,0.1,0,0,0,0,0.42,0,0.1
