stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,16,0,0,0,0,0,1,0,0,0,0,1,1,1,6,0,0,0,0,1,92,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.69,4.23,0.56,0,0,0,0,0,0,0,0.28,1.69,1.69,0,5.92,0,0.85,0,0,12.4,20.57,0.56,0,3.1,0,0,4.51,0.56,0,0
21Day,1.85,0,0,1.85,1.85,1.11,0,0,0,0,0.37,0,0.74,0,0,0.37,0,4.07,0,0,0,0,4.44,8.14,0,0.37,4.81,1.11,0.37,1.11,0.37,0,0
3Month,0,0.31,0.31,4.89,0.1,0,0.21,0.62,0,0,4.99,0.42,0,1.77,0.42,0.83,0.42,0.94,0.1,0,0.42,0.42,0,0.1,0.42,0,0,0.21,2.08,0,0,114,0.73
22Month,0,0,0.14,0.82,0,0,0,0,0.14,0,4.24,0,0.55,0.96,0,0.14,0.14,0.55,0,0.14,0.14,0,0,0,0.14,0,0,0,0.41,0.14,0,0.41,0
