stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0.28,0.28,0,0,0,1.41,2.82,0,0,0.28,0,0
21Day,0,0.37,1.48,0,0,0,0,0.37,0,1.11,0,0,1.11,0,0.37,0,0,0,0,0.74,0.37,0,0,0,0.37
3Month,0,0.21,0.94,0,0.21,0.21,0,8.11,0.1,0,1.14,0.1,0.21,0,0.31,0.1,0.21,0.42,0,0,0,0.1,0,0.31,0.52
22Month,0,0,0,0,0,0,0.14,6.42,0,0,0.82,0,0,0,0,0,0.41,0,0,0,0,0.14,0,0,0.14
