stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,2,24,0,0,3,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.56,0.56,0,0,0,0,0,0,0,0.56,0,0.85,1.41,0,1.13,0,0,0.28,9.3,4.79,0,0,0.56,0,0,0.28,0,0,0,0
21Day,1.48,0,4.44,0,1.11,0,0.74,0,0,0,0.37,0,0,0,0,1.48,0.37,3.33,0,0,0.37,2.59,1.85,0,0.37,1.11,0,0,0.37,0.37,0,0,0
3Month,0.1,0.1,2.5,0.1,0,0.1,0.1,0.52,0.52,0,6.35,0.73,0.1,2.08,0.42,0.94,0.52,0.83,0.31,0,0,0,0,0.1,0.1,0.1,0.42,2.18,0,0.1,0.52,0.62,0.21
22Month,0,0,0.96,0,0,0.14,0,0.27,0.41,0.27,5.47,0.41,0,2.19,0.14,0.27,0.41,0.96,0,0.14,0,0,0,0,0.14,0,0.14,2.73,0,0,0,0,0.41
