stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0.56,0,0,0,0,0,0,0,0,0,0,0.28,4.51,0.56,0,0,0,0,0,3.1,3.38,0,0,0,1.13,0,0,0.28,0,0,0,0
21Day,0,0,0,6.29,0,0,0,0,0,0,0,0,0.37,0.37,0,0,1.11,1.48,1.48,0,0,0.37,0,0,0,0,0,0,1.11,0,1.85,0,0,0,0,0
3Month,0.1,0,0.1,3.74,0,0.1,0,0.73,1.77,0,0,10.51,4.78,0.42,1.77,0.52,1.46,1.56,2.81,0.52,0,0.73,0.62,0.52,0,0.31,0.31,0,0.21,0.42,87.06,0.31,0,0.42,4.99,1.35
22Month,0.14,0.96,0.55,3.83,0.14,0,0.14,0.55,7.24,0.96,0,34.98,1.23,0.41,1.64,0.14,0.82,3.42,4.65,0.14,1.64,0,0,0,0.14,0.55,0,13.94,0,0.27,38.54,0.41,0.14,0.14,0,1.09
