stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,4,8,0,0,0,1,0,0,0,0,7,2,4,44,0,0,1,3,522,0,0,15,0,0,0,0,0,0,0,0,0
72hpf,2.82,0.56,3.66,0.85,0,0,0,0,0,0,0,1.13,2.54,0.28,4.79,0,0.28,1.13,125.99,58.34,0.28,0,9.86,0,0,9.58,0.28,0,0.28,0,0,0
21Day,0.37,0,3.33,1.11,1.48,0,0,0,0,0.74,1.11,0.37,1.48,0.74,4.44,0,1.11,0,54.76,37,0,0.37,4.81,2.96,0,2.96,0.74,1.48,0,0,0,0.37
3Month,0,0.21,2.18,0,0,0.21,0,1.14,0.21,0,0.83,6.45,0.1,0.21,0.52,0.21,0.31,10.61,0,0,0.1,0,0,0,0.31,0,0,0,0,0.31,0.21,0.1
22Month,0,0,0.14,0,0,0,0,1.09,0,0,0.41,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
