stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,0,0,1.13,0,0,0
21Day,0,0,0,0,0.74,0,0.37,0,0,0
3Month,0.1,0.1,0.1,0.1,0.42,0.1,0,0.31,0.1,0.1
