stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,32,0,0,0,2,0,0,0,0,0,0,0
72hpf,1.69,0.56,0.85,0.56,0.56,0,0,0,0,0,0,0,0,0,1.13,1.69,0.28,4.23,0,0.28,0.28,0,2.82,5.92,0,0,0,4.23,0.28,0,1.13,0,0,0,0
21Day,3.7,0.74,4.44,0,1.48,0,1.48,0,0.37,0,0,0,0.74,0.37,1.85,0.74,0,4.81,0,0,0,0,1.11,2.96,0.37,0,0,4.81,0.37,0.37,1.48,0.37,0,0,0
3Month,0.1,0.94,9.88,0.1,0,0.1,0.1,0.52,0.94,0,8.22,0.31,0.31,0.42,1.66,3.02,0.62,3.12,0.52,0,0.62,0.21,0.1,0.21,0,0.1,0,0.1,0.31,4.06,0,0,0.94,0.21,0
22Month,0.14,0.68,2.87,0.14,0,0,0.14,0.55,0.27,0.55,13.53,0.27,0.68,1.09,0.27,0.14,0.68,2.46,0,0.27,0.55,0,0.14,0.14,0.41,0,0.14,0,0.27,0.27,0.14,0,0.14,0,0.14
