stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0.37,0,0.37,0,2.59,1.48,0,0,0.37,1.48
3Month,0,0,0,0,0.21,0,0,0,0,0.1,0,0,0,0,0,0,0
22Month,0.14,0.27,0.14,0,2.6,0.14,0.27,0,0.27,0.82,0.14,0,0,0,0.14,0,0
