stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0,0,11.84,3.66,0,0,0,1.69,0,0,0.85,0,0,0,0,0
21Day,0.37,0,0,0.74,0,0.37,0,0,0,0,0.37,0,0,0,0,0,1.85,0,0,0,0,4.07,0.37,0.37,0.37,0,0.37,0.74,0,0,0.37,0,0,0,0
3Month,0,0.31,0.1,3.22,0.42,0,0.1,0.31,0.94,4.47,0.83,0.21,1.04,0.52,0.94,0.31,1.25,0.1,0,0.1,0.42,0.52,0.1,0.21,0,0,0.21,0.62,5.2,0,0,0.1,0.73,98.4,0.62
22Month,0,0.14,0,0.14,0.14,0,0,0,0.27,1.37,0,0.14,0,0,0,0.14,0.41,0.14,0,0,0,0,0,0,0,0.14,0,0.14,0.14,0,0,0,0,0,0
