stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,52.91,0,1.85,0,0,0,0,0,0,0,0,0.37,0,5.55,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0.37,0,0,0,0
3Month,0.21,1.35,1.46,597.58,0.1,0,2.08,0.1,0.21,1.98,6.35,17.89,7.8,0.1,9.88,4.06,27.04,4.68,7.8,0.83,0,1.35,1.98,0.83,0.21,0.73,0.83,0.31,4.06,2.6,0.62,0,0.42,1.98,2.81,4.99
22Month,0,0.41,0.14,48.1,0,0,0.27,0,0,0.27,1.37,4.1,0.41,0,0.82,0.14,1.78,0.68,0.96,0.14,0.27,0,0,0,0,0,0.14,0,0,0.27,0.27,0,0,0,0,0.14
