stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,5.36,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,1.48,0,0,0,0,0.37,0,0,2.96,0.37,0,0.37,0,0,0,0,0,0
3Month,0.1,0,0.1,1.87,0.52,0.62,0.21,0.1,0,0.73,0.1,0.21,0.1,0.1,0.1,0,0,0.1,0,0.1,0.52
22Month,0,0.14,0.14,0.96,0.14,0.41,0.96,0,0.14,1.23,0.14,0,0.55,0.14,0,0,0,0,0.14,0,0.14
