stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,1.41,0,0.28,0,0,0,0,41.71,3.38,0,0,1.69,0,0.56,0.56,20.29,31.85,0,0
21Day,3.33,0.74,0.37,8.51,0.37,4.07,0,0.74,0.37,0.37,1.48,0.37,1.48,0.74,0.74,3.33,2.59,6.29,0,0,0.74,0,49.58,4.44,0.74,1.11,2.59,2.96,2.59,1.11,59.2,299.69,0,2.59
3Month,0,0.21,0.1,0.94,0,0,0,0,0.42,0.42,2.5,0.42,0.1,0.73,0,0.52,1.25,0.62,0.21,0,0.1,0.21,0.94,0,0.21,0,0,0.94,27.04,0.1,0.21,0.1,19.14,0.62
22Month,0,0.14,0,0.82,0,0,0.14,0,0.14,2.19,1.23,0.14,0,0.14,0,0.41,1.23,1.23,0.14,0.14,0,0,2.87,0.14,0.41,0,0,0.14,19.81,0.55,0.55,0,0.14,0.41
