stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.28,1.69,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0.28,1.41,0,0,71.59,1.97,0,1.13,1.13,0,0,0.28,0,0,0.56,0,0
21Day,1.48,0.37,1.85,0.37,1.85,0.74,0,0,0,0,0,0,0.37,0.37,0,2.59,0,11.47,0,0.37,54.39,1.11,0.37,2.59,2.22,0.74,0.37,1.11,1.11,1.11,0,0,0
3Month,0,0.1,0.42,0.52,0,0.1,0,0.1,0.21,0,1.25,0.21,0.21,0.31,0.42,1.66,0,3.64,1.04,0.1,0.73,0,0.21,0.21,0,0,0.62,2.6,0,0,0,0.31,0.1
22Month,0,0.14,0.68,0,0,0,0.14,0.14,0.14,0.14,3.96,0.14,0.55,0.27,0,0.14,0.68,0.82,0,0,1.23,0,0,0.55,0,0.14,1.5,3.96,0.14,0,0,0,0.14
