stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,1,6,1,0,1,0,0,4,2,8,1,63,1,2,0,0,0,0,0
72hpf,0,0,0.56,0,0.28,0,0,0.28,0.85,0,1.13,2.82,2.54,0,0.56,0,0,0.85,0.28,0
21Day,0.37,0,0,0,0,0,0.37,0,0.74,0,1.85,0.37,1.11,0,0,0.37,0,0.37,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1
