stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0,0.37,1.11,0,0,0,0,0,0,2.22,0,0.37,0,0.37,0.37,0.37,0,0.74,0.74,0,0,0.37,0,0,0,0,0
3Month,0,0.1,0.1,2.29,0.21,0.21,0.62,0.31,4.47,0.31,0.1,66.47,0.21,0.83,0.73,0.62,0.42,0,0.1,0.73,0,0.42,0.1,0.42,2.08,0,0.1,1.25,0.73
22Month,0,0.14,0.14,0.41,0.27,0,0.82,0.27,22.68,0.14,0,49.19,0,0,0.55,0.55,0.14,1.23,0,0,0,0.14,0,0.14,2.05,0.14,0,0,0.41
