stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0.28,0.28,0,0,0,0,0,0,0,11.27,0.28,0,0.56,0,0,0.28,0,0,0,0
21Day,0,1.48,0.74,0,0,0,0,0,0,13.32,0,0,0.37,0.74,0,0,0,0,0,0
3Month,0.42,0.21,0,0.21,0,0.52,0,0.31,0.1,3.95,0,0,0,0,0.21,0,0.21,2.18,0.73,0
22Month,0.68,0,0,0.14,0.41,0.96,0.14,0.14,0,2.73,0.14,0.14,0,0,0,0,0,0.41,0,0.14
