stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,1.13,0,0.28,0,0.85,0,0,1.41,2.25,0,0,0,1.41,0,0,0.28,0,0,0
21Day,0.74,0,0,0.74,0,0.37,0,0,1.48,0,2.22,0.37,0,0,1.85,0,0,0,0.37,0,1.85,0.37,0.37,0,3.33,1.11,0,0,0,0,0
3Month,0,0.1,0.21,2.39,0.1,2.5,0.31,0,33.08,0.21,10.71,0.31,0.94,0.31,1.66,0.42,0,0.42,0.1,0,0,0.31,0,0,0,0.21,0.73,0,0.1,0.94,0.62
22Month,0,0,0.14,0.41,0,0.96,0,0.14,28.42,0,5.19,0,0.41,0.41,0.41,0,0.14,0,0,0,0,0,0,0.14,0.14,0,0.14,0,0,0,0
